name,label,locationname,elevation,locationglobalid,active,display,locationmpname
Top of Fence Post,Top of Fence Post,Piney Lake Staff,57.82,{00904ED9-8B1D-4AFC-A22D-FE0704594D19},Yes,4,Piney Lake Staff - Top of Fence Post
TO PVC above steel piping and sanitary seal,TO PVC above steel piping and sanitary seal,Pleasant Valley Church,77.2,{F3CA6413-5A02-4C31-81A3-E2AD0403E5D5},Yes,1,Pleasant Valley Church - TO PVC above steel piping and sanitary seal
Top of Spigot,Top of Spigot,Point Washington,3.8,{5E4B2983-7533-4F43-BF9E-1AF6CB667800},Yes,1,Point Washington - Top of Spigot
TO 2 inch PVC casing,TO 2 inch PVC casing,Port St Joe Deep Int,19.1,{4C1F1CF9-73D0-44D3-827B-E8C17D9B2FB2},Yes,1,Port St Joe Deep Int - TO 2 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Port St Joe Med Shallow,19.6,{57070231-F9D3-4856-8973-65F95D24CF47},Yes,1,Port St Joe Med Shallow - TO 2 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Port St Joe Shallow Int,19.05,{07AE9683-66E4-4EA1-81B6-B6AF429DD3CE},Yes,1,Port St Joe Shallow Int - TO 4 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Port St Joe Shallow Int #2,19.25,{2E400C3B-F037-4E12-B4E1-82E4D54BB836},Yes,1,Port St Joe Shallow Int #2 - TO 2 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Port St Joe Surficial,19.89,{8260C45D-21A3-4C80-9449-382E23885B0D},Yes,1,Port St Joe Surficial - TO 2 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Port St. Joe Floridan,18.75,{8FB2CB66-9200-4BE5-BC50-43D68C63C373},Yes,1,Port St. Joe Floridan - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Porter Pond East,138.84,{4E5A5533-CE73-4E89-B882-3611F652A299},Yes,1,Porter Pond East - TO 4 inch PVC casing
Staff,Staff,Powell Lake - Camp Helen,0,{F36DDF53-85AA-4573-99D4-8AE979AF861B},Yes,1,Powell Lake - Camp Helen - Staff
Top of 6 inch PVC casing,Top of 6 inch PVC casing,Pt. Wash. Floridan APT,43.73,{0D9EB86D-3031-4500-A5DE-9D87A6451540},Yes,1,Pt. Wash. Floridan APT - Top of 6 inch PVC casing
Staff,Staff,Quincy Creek @ Sr 267,10,{C0BB98B9-E549-4882-957B-C388C71DE83D},Yes,1,Quincy Creek @ Sr 267 - Staff
Alum angle,Alum angle,Quincy Creek @ Sr 267,14.4,{C89BA963-E63F-42A6-B012-DD31207B2717},Yes,2,Quincy Creek @ Sr 267 - Alum angle
Ch square on top headwall,Ch square on top headwall,Quincy Creek @ Sr 267,27.14,{96CE496E-99AA-4DE2-891D-E0B84E891472},Yes,3,Quincy Creek @ Sr 267 - Ch square on top headwall
Ch Square,Ch Square,Regional Stormwater Facility,54.15,{A0CC8E4A-B657-4987-A6BF-36BB263996F7},Yes,1,Regional Stormwater Facility - Ch Square
0.5 inch galv pipe,0.5 inch galv pipe,River Lake - Washington County,57.26,{79E0A408-8080-4171-AD8A-08B4D6ED1435},Yes,1,River Lake - Washington County - 0.5 inch galv pipe
1.25 inch galv pipe,1.25 inch galv pipe,River Lake - Washington County,59.9,{EA4E1B6E-D75E-42B8-BDD6-2C324CDA6DE0},Yes,2,River Lake - Washington County - 1.25 inch galv pipe
Staff,Staff,River Lake - Washington County,60.17,{17B0576B-6C29-43A8-9031-AB3BC28C03C6},Yes,3,River Lake - Washington County - Staff
TO PVC casing,TO PVC casing,RU Cedar Street,188.87,{F35962AB-2AC2-488A-A068-41D11EAD357C},Yes,1,RU Cedar Street - TO PVC casing
Ch Square on bridge handrail,Ch Square on bridge handrail,SALLY WARD SPRING RUN,13.05,{B24F0D18-3F5F-4C47-A291-4333D94EF0FE},Yes,1,SALLY WARD SPRING RUN - Ch Square on bridge handrail
TO 2 inch PVC casing,TO 2 inch PVC casing,Sand & Gravel MW-5S,219.1,{811920D4-3B2D-4CD6-9F5B-20F6AA8A6969},Yes,1,Sand & Gravel MW-5S - TO 2 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Sand & Gravel NW-5D,218.94,{6C6A6FFA-D31A-42E8-B717-4657514E3132},Yes,1,Sand & Gravel NW-5D - TO 2 inch PVC casing
TO 10 inch protective steel casing,TO 10 inch protective steel casing,Seagrove Deep,37.8,{B905D704-E028-4991-ABAA-8D3BD10E278D},Yes,1,Seagrove Deep - TO 10 inch protective steel casing
TO 8 inch protective steel casing,TO 8 inch protective steel casing,Seagrove Shallow Floridan,36.81,{BD01BC65-ECEF-423C-A605-A1A74F1FD40B},Yes,1,Seagrove Shallow Floridan - TO 8 inch protective steel casing
1.75 inch pipe- Right of transducer pipe,1.75 inch pipe- Right of transducer pipe,Southwood SW Pond SB111B,33.51,{81E9798D-59C4-4E4A-B424-D4478EE39139},Yes,1,Southwood SW Pond SB111B - 1.75 inch pipe- Right of transducer pipe
Staff,Staff,Southwood SW Pond WD005,32.04,{8FAAB702-153B-48AC-8825-9FB981F02692},Yes,1,Southwood SW Pond WD005 - Staff
Wooden stake flush with bed,Wooden stake flush with bed,Southwood SW Pond WD005,32,{6FB940F2-2645-4B30-8BB5-223408156EB7},Yes,2,Southwood SW Pond WD005 - Wooden stake flush with bed
TO 12 inch steel casing,TO 12 inch steel casing,ST MARKS NAT WILDLIFE REFGURE - FLORIDAN MONITOR-68m,25.98,{223C1D78-C693-43E3-AAA4-BF473E87CF11},Yes,1,ST MARKS NAT WILDLIFE REFGURE - FLORIDAN MONITOR-68m - TO 12 inch steel casing
Staff below bridge,Staff below bridge,Still Creek,50.98,{D9276464-3819-472F-BCED-80CD12D3F101},Yes,1,Still Creek - Staff below bridge
TO sanitary seal,TO sanitary seal,SWU - FAF #47,151.04,{7ECC1E64-AACE-4EF0-B910-A20B7CEE40F2},Yes,1,SWU - FAF #47 - TO sanitary seal
Top of 1 inch galvanized pipe nipple,Top of 1 inch galvanized pipe nipple,Tall Timbers Research,200,{3117FB94-1B64-4ACE-B29C-0B9EEA254042},Yes,1,Tall Timbers Research - Top of 1 inch galvanized pipe nipple
TO 12 inch protective casing,TO 12 inch protective casing,Tates Hell SF TH-2 Tractor Rd,25.04,{234E648C-173E-4A31-8508-0CAF1CAD151D},Yes,1,Tates Hell SF TH-2 Tractor Rd - TO 12 inch protective casing
