Identifier,UniqueId,Name,Description,ReferencePointPeriods_0_StandardIdentifier,ReferencePointPeriods_0_IsMeasuredAgainstLocalAssumedDatum,ReferencePointPeriods_0_ValidFrom,ReferencePointPeriods_0_Unit,ReferencePointPeriods_0_Elevation,ReferencePointPeriods_0_Uncertainty,ReferencePointPeriods_0_MeasurementDirection,ReferencePointPeriods_0_AppliedTime,ReferencePointPeriods_0_AppliedByUser,PrimarySinceDate,ReferencePointPeriods_0_Comment,ReferencePointPeriods_1_IsMeasuredAgainstLocalAssumedDatum,ReferencePointPeriods_1_ValidFrom,ReferencePointPeriods_1_Unit,ReferencePointPeriods_1_Elevation,ReferencePointPeriods_1_MeasurementDirection,ReferencePointPeriods_1_AppliedTime,ReferencePointPeriods_1_AppliedByUser,Latitude,Longitude,ReferencePointPeriods_0_Method,DecommissionedDate,DecommissionedReason,ReferencePointPeriods_1_StandardIdentifier,ReferencePointPeriods_1_Comment,DisplayOrder
000056,c04d2ac119784e5482bf4e282f3871b4,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.6757410+00:00,admin,,,,,,,,,,,,,,,,,
000056,63d05198895045b799ef1d4084ba9e01,Ref point is 2.15ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,2.15,,FromBottomToTop,2021-04-30T22:42:45.6912060+00:00,admin,,,,,,,,,,,,,,,,,
000056,f6531767e25f490885d9fef45c6262c8,TO 4 inch threaded PVC casing,same as Ref point is 2.15ft above LSD,NAVD88,FALSE,2021-01-01T00:00:00.0000000+00:00,ft,18.95,,FromBottomToTop,2021-05-10T19:18:13.9489282+00:00,admin,,,,,,,,,,,,,,,,,1
000057,037b4f8dc85144109081e7c87e41b1cf,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.7093540+00:00,admin,,,,,,,,,,,,,,,,,
000057,14152a59320d4d92bde644661f9793ac,Ref point is 2.6ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,2.6,,FromBottomToTop,2021-04-30T22:42:45.7253330+00:00,admin,,,,,,,,,,,,,,,,,
000057,8ebb399d812948d88ccd700a0f16d4ac,TO 2 inch threaded PVC casing,same as Ref point is 2.6ft above LSD,NAVD88,FALSE,2021-01-01T00:00:00.0000000+00:00,ft,19.24,,FromBottomToTop,2021-05-10T19:18:14.0463380+00:00,admin,,,,,,,,,,,,,,,,,1
000058,f9c1f8a27dfe4bc6ab18f63515e7da56,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.7468300+00:00,admin,,,,,,,,,,,,,,,,,
000058,4c30bcc0839348daaba358fe20b83a95,Ref point is 3ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,3,,FromBottomToTop,2021-04-30T22:42:45.7642160+00:00,admin,,,,,,,,,,,,,,,,,
000058,2d005be5831b4214b4f415f69b574b32,TO 2 inch PVC casing,same as Ref point is 3ft above LSD,NGVD29,FALSE,2021-01-01T00:00:00.0000000+00:00,ft,20,,FromBottomToTop,2021-05-10T19:18:14.1484630+00:00,admin,,,,,,,,,,,,,,,,,1
000059,3aa60515089c4c538603d8f7c57cac9d,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.7829400+00:00,admin,,,,,,,,,,,,,,,,,
